scenario_id,disruption_type,severity,port_id,port_name,manufacturer_id,manufacturer_name,product_route,impact_score,delay_days
1,PORT_CLOSURE,0.99,PORT003,Rotterdam Port,MAN001,TSMC,Taipei-Rotterdam Route,0.6428,28.93
1,PORT_CLOSURE,0.99,PORT003,Rotterdam Port,MAN002,Samsung Electronics,Shanghai-Rotterdam Route,0.6535,29.41
1,PORT_CLOSURE,0.99,PORT003,Rotterdam Port,MAN003,Infineon Technologies,Hamburg-Rotterdam Route,0.4927,22.17
1,PORT_CLOSURE,0.99,PORT003,Rotterdam Port,MAN004,Foxconn,Shanghai-Rotterdam Route,0.6537,29.42
2,PORT_STRIKE,0.49,PORT005,Los Angeles Port,MAN001,TSMC,Taipei-Los Angeles Route,0.3313,14.91
2,PORT_STRIKE,0.49,PORT005,Los Angeles Port,MAN002,Samsung Electronics,Shanghai-Los Angeles Route,0.3198,14.39
2,PORT_STRIKE,0.49,PORT005,Los Angeles Port,MAN004,Foxconn,Shanghai-Los Angeles Route,0.32,14.4
3,PORT_CLOSURE,0.99,PORT005,Los Angeles Port,MAN001,TSMC,Taipei-Los Angeles Route,0.6257,28.16
3,PORT_CLOSURE,0.99,PORT005,Los Angeles Port,MAN002,Samsung Electronics,Shanghai-Los Angeles Route,0.6108,27.49
3,PORT_CLOSURE,0.99,PORT005,Los Angeles Port,MAN004,Foxconn,Shanghai-Los Angeles Route,0.611,27.5
4,INFRASTRUCTURE_FAILURE,0.69,PORT003,Rotterdam Port,MAN001,TSMC,Taipei-Rotterdam Route,0.445,20.02
4,INFRASTRUCTURE_FAILURE,0.69,PORT003,Rotterdam Port,MAN002,Samsung Electronics,Shanghai-Rotterdam Route,0.454,20.43
4,INFRASTRUCTURE_FAILURE,0.69,PORT003,Rotterdam Port,MAN003,Infineon Technologies,Hamburg-Rotterdam Route,0.3179,14.31
4,INFRASTRUCTURE_FAILURE,0.69,PORT003,Rotterdam Port,MAN004,Foxconn,Shanghai-Rotterdam Route,0.4542,20.44
5,INFRASTRUCTURE_FAILURE,0.7,PORT005,Los Angeles Port,MAN001,TSMC,Taipei-Los Angeles Route,0.4337,19.52
5,INFRASTRUCTURE_FAILURE,0.7,PORT005,Los Angeles Port,MAN002,Samsung Electronics,Shanghai-Los Angeles Route,0.4211,18.95
